dataset,record_id,mean,std,variance,min,max,median,rms,peak_to_peak,crest_factor,skewness,kurtosis,q25,q75,iqr,env_mean,env_std,env_max,env_min,total_power,power_mean,power_std,dominant_freq,data_length,shaftSpeed,samplingRate,range
AGR.361,0,-0.0011404444320279163,0.24355685642454725,0.05931994231140752,-0.7007265,0.8032713,-0.012207985,0.24355952645074275,1.5039978,3.2980491944028016,0.18722802515642056,-0.46042342895838795,-0.18409348,0.16944408,0.35353756000000003,0.31115929486168215,0.14771959392832565,0.8484387773969397,0.0011236743293185506,63866872.213024706,1946.4486228521487,94087.88291303642,0.10087772766061197,32812,0,3125,1.5039978
AGR.361,1,-0.0011484309123121932,0.229772662752558,0.052795476548400756,-0.69193697,0.8892145,-0.006348133,0.22977553273131826,1.58115147,3.869926834376133,0.09630809589695717,-0.5618465303111049,-0.17530346,0.1665144,0.34181786000000003,0.2937982031985615,0.13883402964568384,0.8902816828950416,0.0031353335522529852,56845938.43809077,1732.4212488370697,73174.63038172491,0.10090512906469996,32813,0,3125,1.58115147
AGR.361,2,-0.0011434013583686347,0.22655717840447578,0.05132815508659747,-0.6860771,0.7778797,-0.0034179688,0.22656006367686207,1.4639568,3.433436976383771,0.0821748519188283,-0.43267714297790905,-0.16749096,0.1596775,0.32716846,0.289323936438709,0.137656374147626,0.7822195217199306,0.0007167237879673463,55266071.325978614,1684.2736514789447,59783.67573237043,0.10084417761253162,32813,0,3125,1.4639568
AGR.361,3,-0.0011380056644870783,0.2554303633543994,0.0652446705233605,-0.7378378,0.84721947,-0.0034179688,0.25543289839065936,1.58505727,3.3167985617273996,0.06652031864670409,-0.670562888612475,-0.20167255,0.19190598,0.39357853,0.3292663770189177,0.14857418705622719,0.8517594768110595,0.001270054916019155,70245590.62938307,2140.850622619257,143810.87754277472,0.10081677435084725,32812,0.0,3125.0,1.58505727
AGR.361,4,-0.0011390557850577512,0.24013321455458986,0.05766396073232069,-0.68998337,0.7632303,-0.004395008,0.24013591605672435,1.45321367,3.1783263100872903,0.07553772480999155,-0.6952231440679921,-0.18897629,0.18018723,0.36916351999999997,0.30920002256974716,0.14044417024423164,0.7825553822344782,0.0017264212177582814,62087778.03840874,1892.170116673536,120674.87465522652,0.10090512906469996,32813,0,3125,1.45321367
AGR.361,5,-0.0011518845999603814,0.2387352001618897,0.056994495796337544,-0.64701223,0.7466278,-0.00048828125,0.2387379790365772,1.3936400299999998,3.1273943216450224,0.01929896764835085,-0.7123425537737322,-0.18897629,0.18116379,0.37014008,0.30809542038996196,0.13808522862905845,0.8203102489842997,0.004551579633579207,61367001.49290402,1870.2039281048371,89231.8959176743,0.10084417761253162,32813,0,3125,1.3936400299999998
AGR.361,6,-0.0011197995351263223,0.2519268224735793,0.06346712388163432,-0.7729964,0.8491726,-0.016114235,0.25192931118199247,1.622169,3.3706780525691276,0.2516981728142948,-0.3395490687642795,-0.1860466,0.16749096,0.35353756000000003,0.3219785362935723,0.15252974752656032,0.8543274221862429,0.0006735193578358102,68335956.16623163,2082.5878818221936,96524.8657428726,0.10084417761253162,32813,0.0,3125.0,1.622169
AGR.361,7,-0.0011580642716780447,0.2554898981546425,0.06527508805906959,-0.7280717,0.8511257,-0.006348133,0.2554925227319323,1.5791974,3.331313538647147,0.0997865339164344,-0.6680710650635269,-0.20167255,0.19483566,0.39650821,0.3285258790558675,0.15040699455742568,0.8852936125542157,0.0005378802454612311,70278388.5651758,2141.8501939892662,85276.36143849493,0.10081677435084725,32812,0.0,3125.0,1.5791974
AGR.361,8,-0.0011369620588702303,0.22843401926855525,0.05218210115918667,-0.70463276,0.71146965,-0.006348133,0.22843684869545453,1.41610241,3.11451350367957,0.10517697860615807,-0.6018790738199824,-0.17725706,0.16749096,0.34474802,0.2928954015826205,0.1363003253054559,0.8117340364525986,0.003807469487666058,56182068.71292149,1712.24151874075,75814.04024767375,0.10087772766061197,32812,0,3125,1.41610241
AGR.361,9,-0.0011456223438437154,0.22779125434966968,0.05188885555819591,-0.69974995,0.7202587,-0.0034179688,0.22779413515003108,1.42000865,3.1618843019185685,0.08886515692180053,-0.6115275113354683,-0.17725706,0.16846752,0.34572458,0.2914953349781684,0.13714770585494865,0.7822801744077383,0.002165194721155318,55866373.76297494,1702.620192703125,63803.045285804765,0.10084725100572961,32812,0,3125,1.42000865
AGR.361,10,-0.0011108323208170788,0.23340940650974953,0.054479951047233514,-0.7065859,0.8413601,-0.013184547,0.23341204980822755,1.547946,3.6046129610329265,0.17190638992666993,-0.4491236326337704,-0.17530346,0.16456032,0.33986378,0.2978629474918513,0.14226313815175679,0.8508820675234369,0.001583493433633784,58655933.49986997,1787.6366420782022,78415.09997098337,0.10084725100572961,32812,0,3125,1.547946
AGR.361,11,-0.0011162285203913083,0.22634367244775486,0.05123145805713654,-0.6450591,0.7671366,-0.009277821,0.2263464248077408,1.4121956999999998,3.3892145663515896,0.13589029177752468,-0.5766117573751215,-0.17530346,0.1665144,0.34181786000000003,0.28957706642125985,0.13641585202328968,0.7800693279944714,0.0014511193624129938,55161892.204687275,1681.09871711478,98489.88976743865,0.1008746533386158,32813,0.0,3125.0,1.4121956999999998
