dataset,record_id,mean,std,variance,min,max,median,rms,peak_to_peak,crest_factor,skewness,kurtosis,q25,q75,iqr,env_mean,env_std,env_max,env_min,total_power,power_mean,power_std,dominant_freq,data_length,shaftSpeed,samplingRate,range,reconstruction_mse,anomaly
AGR.361,10,-0.001110832320817,0.2334094065097495,0.0544799510472335,-0.7065859,0.8413601,-0.013184547,0.2334120498082275,1.547946,3.6046129610329274,0.1719063899266699,-0.4491236326337704,-0.17530346,0.16456032,0.33986378,0.2978629474918513,0.1422631381517567,0.8508820675234369,0.0015834934336337,58655933.49986997,1787.6366420782022,78415.09997098337,0.1008472510057296,32812,0.0,3125.0,1.547946,0.01975320620094746,False
AGR.361,11,-0.0011162285203913,0.2263436724477548,0.0512314580571365,-0.6450591,0.7671366,-0.009277821,0.2263464248077408,1.4121956999999998,3.3892145663515896,0.1358902917775246,-0.5766117573751215,-0.17530346,0.1665144,0.34181786,0.2895770664212598,0.1364158520232896,0.7800693279944714,0.0014511193624129,55161892.20468728,1681.09871711478,98489.88976743864,0.1008746533386158,32813,0.0,3125.0,1.4121956999999998,0.006314299467311209,False
AGR.361,12,-0.0011476785697366,0.2307625383394923,0.0532513491008856,-0.659708,0.8198738,-0.011231422,0.2307653922644925,1.4795818,3.552845562996287,0.1895520563712455,-0.4076247744862296,-0.17335033,0.15870094,0.33205127,0.2952714106126614,0.1389921198586521,0.847413698973765,0.001553711768401,57333276.64394256,1747.326485552315,85056.98343435315,0.1008472510057296,32812,0.0,3125.0,1.4795818,0.013854793594450085,False
AGR.361,13,-0.0011275650327583,0.253727526961057,0.0643776579377739,-0.72904825,0.80620193,-0.020997524,0.2537300323979742,1.5352501799999998,3.177400492880861,0.2355538933096577,-0.5156811817378526,-0.19288301,0.18018723,0.37307024,0.3251127716033527,0.1518495077991271,0.8458915602080659,0.0012353086557198,69316340.57285477,2112.465808455636,79138.34128524663,0.1007832261603632,32813,0.0,3125.0,1.5352501799999998,0.009886728600036712,False
AGR.361,14,-0.0011315839937997,0.2246174019560342,0.0504529772614786,-0.68510056,0.7368612,-0.0014648438,0.2246202523011086,1.42196176,3.2804753465071377,0.0595564671852382,-0.5755790026247904,-0.17335033,0.1665144,0.33986473,0.2878298762341806,0.1343919541948425,0.7810327208846435,0.0032934366543257,54323744.56887802,1655.555559347759,74748.83706455048,0.1009051290646999,32813,0.0,3125.0,1.42196176,0.00540660682512758,False
AGR.361,15,-0.0011471715786952,0.2516282462369812,0.0633167743042988,-0.75346375,0.87358856,-0.011231422,0.2516308611973694,1.6270523099999998,3.471706752673676,0.1612976599338318,-0.50388088621074,-0.19092941,0.17823315,0.36916256,0.3226914339501323,0.1500170092494089,0.8760558351152882,0.0007136984896126,68169987.39430197,2077.59317915098,107208.10138136818,0.1008472510057296,32812,0.0,3125.0,1.6270523099999998,0.007984804751103594,False
AGR.361,16,-0.001146584133665,0.2293638754700944,0.0526077873706609,-0.6958432,0.83940697,-0.0073246956,0.2293667413245358,1.53525017,3.659671690641082,0.1247231758292525,-0.4636936162284462,-0.17139721,0.1626072,0.33400441,0.2926364870407011,0.1399313254742306,0.840122135215646,0.001301936621621,56643850.25662188,1726.2624647737748,91342.1264002908,0.1008746533386158,32813,0.0,3125.0,1.53525017,0.024898853178419462,False
AGR.361,17,-0.0011611992496388,0.2215749595544683,0.0490954627015642,-0.63919926,0.8071785,-0.011231422,0.2215780022593886,1.44637776,3.642863875336698,0.1598778752976236,-0.5134876918866107,-0.17042065,0.15870094,0.32912159,0.2833206183153924,0.1338719575721876,0.8211639710384189,0.0023459326659195,52862191.29582246,1611.0136621406898,93757.17819731787,0.1008137018864474,32813,0.0,3125.0,1.44637776,0.02173090130414596,False
AGR.361,18,-0.001125662174539,0.251832003028465,0.0634193577493288,-0.73588467,0.8325701,-0.0053715706,0.2518345188107858,1.56845477,3.3060205722851923,0.1086540828092927,-0.6138676697903187,-0.19678926,0.18507004,0.3818593,0.3233319685635334,0.1493198604299477,0.8444391177960016,0.0024703559730959,68284540.881366,2081.0209636840887,110128.77533761358,0.1008746533386158,32813,0.0,3125.0,1.56845477,0.007707888050933823,False
AGR.361,19,-0.001116720696134,0.226278904330359,0.0512021425449477,-0.64408207,0.7690897,-0.00048828125,0.2262816599065442,1.41317177,3.3988158842287044,0.0550175404633101,-0.7383740130851573,-0.18213987,0.17139721,0.35353708,0.2922777752467222,0.1303043907553432,0.7800863935153692,0.0022726219074935,55126969.3596771,1680.0856198853194,70086.35244615076,0.1008777276606119,32812,0.0,3125.0,1.41317177,0.0065926178638558205,False
