dataset,record_id,rms,peak_to_peak,skewness,kurtosis,qcd
BSK.362,54,0.25456574,2.0077401,-0.018877934,-0.036592594,
BSK.362,55,0.26520774,2.2035032,0.0038175349,-0.12045772,-195.47176
BSK.362,56,0.27180667,2.0930963,0.005673612,-0.16358335,
BSK.362,57,0.2564013,2.1478358,-0.029396143,-0.053753919,124.66997
BSK.362,58,0.26326548,2.0355735,-0.023424942,-0.11193283,385.94246
BSK.362,59,0.2691827,2.2433987,-0.025924287,-0.1336963,199.47124
BSK.362,60,0.26520774,2.2035032,0.0038175349,-0.12045772,-195.47176
BSK.362,61,0.25781009,2.1311355,-0.034623488,-0.12118226,381.94248
BSK.362,62,0.26861694,2.1701031,-0.053028679,-0.12859377,132.00353
BSK.362,63,0.24948851,2.2099982,-0.023117245,-0.077305509,365.94565
BSK.362,64,0.26028362,2.0179453,-0.031619812,-0.08924112,190.52181
BSK.362,65,0.25873164,2.1255693,-0.053476219,-0.058723362,189.47279
BSK.362,66,0.25451101,2.1997928,-0.053968778,-0.094789063,373.94356
BSK.362,67,0.26975093,2.1376309,-0.018315661,-0.14706833,-397.94035
BSK.362,68,0.25939376,2.0587678,-0.050477493,-0.056616275,379.94762
BSK.362,69,0.26951078,2.1524753,0.0057461311,-0.14214925,-198.52178
BSK.362,70,0.2787612,2.0532012,0.051497767,-0.17356523,-83.196502
BSK.362,71,0.2787612,2.0532012,0.051497767,-0.17356523,-83.196502
BSK.362,72,0.25481217,2.2369046,-0.050751644,-0.047305653,185.4733
BSK.362,73,0.25466197,2.1218581,-0.01925219,-0.082320553,720970.83
BSK.362,74,0.25805475,2.1561861,-0.012397045,-0.068174495,
BSK.362,75,0.27237102,2.0921693,0.018106421,-0.15502221,-202.47073
BSK.362,76,0.27180667,2.0930963,0.005673612,-0.16358335,
BSK.362,77,0.25769195,2.075468,-0.025131701,-0.098689128,190.52181
BSK.362,78,0.28183822,2.2999945,0.044752753,-0.18586762,-140.02784
BSK.362,79,0.25874911,1.9437218,-0.069549229,-0.065378642,126.66997
BSK.362,80,0.2744645,2.0680466,0.027379644,-0.15526795,-203.52312
BSK.362,81,0.25781009,2.1311355,-0.034623488,-0.12118226,381.94248
BSK.362,82,0.27237102,2.0921693,0.018106421,-0.15502221,-202.47073
BSK.362,83,0.26951078,2.1524753,0.0057461311,-0.14214925,-198.52178
BSK.362,84,0.25911268,2.0392847,-0.031682932,-0.1241419,381.94248
BSK.362,85,0.25805475,2.1561861,-0.012397045,-0.068174495,
BSK.362,86,0.25481217,2.2369046,-0.050751644,-0.047305653,185.4733
BSK.362,87,0.2787612,2.0532012,0.051497767,-0.17356523,-83.196502
BSK.362,88,0.26951078,2.1524753,0.0057461311,-0.14214925,-198.52178
BSK.362,89,0.26951078,2.1524753,0.0057461311,-0.14214925,-198.52178
BSK.362,90,0.25289548,2.0439239,-0.033038583,-0.049746268,184.4733
BSK.362,91,0.27237102,2.0921693,0.018106421,-0.15502221,-202.47073
BSK.362,92,0.27180667,2.0930963,0.005673612,-0.16358335,
BSK.362,93,0.26090304,2.3111276,-0.014585225,-0.036201945,190.52181
BSK.362,94,0.2592768,2.1413416,-0.042133973,-0.047303498,
BSK.362,95,0.27257856,2.265666,0.0092541957,-0.14657562,
BSK.362,96,0.25731927,2.0309348,-0.050002646,-0.070914704,188.47279
BSK.362,97,0.27237102,2.0921693,0.018106421,-0.15502221,-202.47073
BSK.362,98,0.26436921,2.1775251,-0.018888474,-0.1373456,
BSK.362,99,0.27257856,2.265666,0.0092541957,-0.14657562,
BSK.362,100,0.26458262,2.0726852,-0.0026378618,-0.10182754,
BSK.362,101,0.2691827,2.2433987,-0.025924287,-0.1336963,199.47124
