dataset,record_id,rms,peak_to_peak,skewness,kurtosis,qcd,reconstruction_mse,is_anomaly
AGR.361,28,0.24535417,1.6084972,0.21938974,-0.41205376,-25.643535,0.8168033428957809,False
AGR.361,29,0.19276191,1.2569127,0.094609946,-0.63625043,-30.098943,0.6330555264933847,False
AGR.361,30,0.22881401,1.383874,0.13699432,-0.52539397,-38.669021,0.5375702763238535,False
AGR.361,31,0.23524123,1.5596657,0.27033673,-0.36605712,-21.187493,0.9856987891384288,False
AGR.361,32,0.25101771,1.5489225,0.087053121,-0.51293554,-37.69856,0.6645770362574603,False
AGR.361,33,0.21272777,1.3907103,0.10989986,-0.50533979,-32.100439,0.4350160995909837,False
AGR.361,34,0.23470314,1.5059509,0.057469987,-0.73329468,-41.775723,1.144527301514263,False
AGR.361,35,0.23153432,1.4307513,0.084864984,-0.55107065,-44.37502,0.5952483308290198,False
AGR.361,36,0.21017668,1.2910948,0.071473977,-0.87252664,-29.081535,1.3944085993537056,False
AGR.361,37,0.24393484,1.4405179,0.050292397,-0.83283679,-33.582617,1.4874302644070627,False
AGR.361,38,0.21948387,1.4610266,0.24400441,-0.33552789,-24.15347,0.6701526944406659,False
AGR.361,39,0.26722637,1.6827197,0.074004385,-0.57187065,-37.08984,0.9769252969709958,False
AGR.361,40,0.25239443,1.5772448,0.15938129,-0.50373429,-37.49858,0.7583499477213573,False
AGR.361,41,0.23153432,1.4307513,0.084864984,-0.55107065,-44.37502,0.5952483308290198,False
AGR.361,42,0.24806319,1.5645485,0.14335497,-0.44294568,-45.625002,0.5822122558507855,False
AGR.361,43,0.22152861,1.4737225,0.16562793,-0.43012292,-30.000501,0.456268060155497,False
AGR.361,44,0.0060039724,0.050784588,0.05816734,-1.1115495,-5.4989017,3.513214425862915,False
AGR.361,45,0.25239443,1.5772448,0.15938129,-0.50373429,-37.49858,0.7583499477213573,False
AGR.361,46,0.23446735,1.4766522,0.072020381,-0.66232398,-61.827001,0.904729301309208,False
AGR.361,47,0.22315322,1.482512,0.13245747,-0.47760832,-33.498774,0.4754477991968562,False
AGR.361,48,0.25231878,1.6221695,0.089639525,-0.59936294,-64.832064,0.9056531185986165,False
AGR.361,49,0.20440285,1.2959776,0.23725348,-0.47172855,-20.266572,0.7092416047067914,False
AGR.361,50,0.23671457,1.4600501,0.090208407,-0.55874362,-32.909641,0.6445265201262883,False
AGR.361,51,0.23165678,1.4483304,0.1250504,-0.44362581,-34.498712,0.4226918253822295,False
